p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
7.931403912699699e-05,1.5798636886152106,1,1,0.0001430587610065916,3,THAP2
0.001222876733143833,-1.3950103159693674,1,1,0.0018109812161452023,3,IRF4
3.106434949992814e-05,2.641344455695303,1,1,5.938029887671583e-05,3,CCDC149
0.001113902034877905,2.2724787594915874,1,1,0.0016631551861811679,3,MGAM
7.942112159814916e-10,2.5778191580929786,1,1,2.4103737511602294e-09,3,ARHGEF11
0.0021093106016653327,-1.0423337756909006,1,1,0.002991411611018203,3,SIGIRR
2.717790944793582e-06,-1.083063687124528,1,1,5.868725233030766e-06,3,DUSP19
0.006785793404396204,1.3444728198331282,1,1,0.008617083593350793,3,UBXN8
1.6508713472530417e-13,1.1166325787901312,1,1,6.344743052856161e-13,3,PRDX3
5.12137576016615e-07,2.0825217859931158,1,1,1.1949876773721017e-06,3,P4HA2
1.4357838891331862e-17,1.112362753240605,1,1,6.712079771772334e-17,3,PECAM1
2.833577648297102e-11,2.43486652413816,1,1,9.509496104318655e-11,3,VPS37C
6.094191024933159e-26,4.066761280325879,1,1,3.8849252833585066e-25,3,B3GNT8
0.003682596374817155,-4.916630573674904,1,1,0.004946014015505432,3,CNR2
0.020556086683505413,1.4690024716914247,1,1,0.02317706021832754,3,TPRG1
6.221755016559646e-05,1.002238146802958,1,1,0.0001141797741101419,3,PMEL
2.1332307993685546e-11,-5.067164390530639,1,1,7.2075431150263e-11,3,OCIAD2
1.1355399656399896e-152,3.854969758727925,1,1,3.362039439009658e-151,3,CCR1
0.011470729443553991,-1.7040798533038835,1,1,0.013843147821825273,3,ZNF512
1.8934486520209404e-103,1.5886801535643176,1,1,3.673841874819271e-102,3,PSAP
1.3847666932872412e-63,2.5969168447873097,1,1,1.8147254010062635e-62,3,LYN
2.2159380216941346e-32,1.9722592932801168,1,1,1.6838601278919119e-31,3,DUSP6
0.028678059108862106,-1.51138767147344,1,1,0.030963317735851387,3,ADAM33
0.0010507719127425298,1.0036586237564493,1,1,0.001578923058357854,3,UBE2R2
5.335086486516554e-102,2.5154996875194,1,1,1.0203033821342903e-100,3,LILRB1
3.3063889438339743e-09,-1.3131450841548338,1,1,9.473574629752255e-09,3,FAM65B
0.0004521243896440212,-1.0396876286385155,1,1,0.000723724944095776,3,BEND2
5.94911833540978e-06,-1.430771383602137,1,1,1.231415121006364e-05,3,FAM172BP
2.2392914866549523e-61,3.234867140449995,1,1,2.8324202759999506e-60,3,MCOLN1
0.0035487787361950544,-1.3220872473401748,1,1,0.004785431519893886,3,MED17
1.5743818932890062e-45,1.3187536576773748,1,1,1.5537788709817676e-44,3,TPP1
0.002524814480778761,-1.5284856218197138,1,1,0.003519945406233941,3,TAF1
4.858791681514966e-22,1.940789165633782,1,1,2.693563155480627e-21,3,PION
2.5874853951348295e-08,-1.2380741292239932,1,1,6.939616063436138e-08,3,ATAD3C
0.003561352423698323,3.565655374023074,1,1,0.0047962502698401235,3,LINC00602
0.00644469274469853,-5.975132479840747,1,1,0.008224596711545346,3,PSAT1
3.4595586576822205e-08,-6.9335185487599444,1,1,9.157520499838301e-08,3,IFNG
0.00042253854488646524,-1.2441729994626862,1,1,0.0006793590361670159,3,ZNF773
2.28088362965511e-31,7.445886319125604,1,1,1.6882762718021247e-30,3,RETN
5.763727890227616e-32,4.597638803110051,1,1,4.314161119333292e-31,3,CCL8
0.00013493186009146222,-1.1416932923949357,1,1,0.0002348966222933687,3,TP53INP1
2.6121208744299085e-20,-6.734592341019504,1,1,1.3792136241870995e-19,3,SPOCK2
2.160995687345413e-109,3.2221876125013345,1,1,4.475388477885811e-108,3,RNF144B
4.1703841322819036e-97,4.044845742056536,1,1,7.576829716695803e-96,3,GPR34
4.739204736756111e-14,4.356718282852269,1,1,1.8885943502307253e-13,3,OR2B11
6.066912666950746e-06,2.7993234717289077,1,1,1.2538495310135537e-05,3,NMNAT3
5.678575504086456e-288,5.20641683977697,1,1,3.981976542076064e-286,3,PLBD1
0.012979794099446784,-1.2117661014422023,1,1,0.015422186984390249,3,NCAPD2
0.0018436725683988542,4.417251505300369,1,1,0.002641275718957068,3,BIRC8
2.0643127569422325e-07,1.1915831232930463,1,1,5.034202617143443e-07,3,LRRC59
3.5836215209298536e-05,-1.5145878660108587,1,1,6.798165742361949e-05,3,NFATC2
5.561411537238615e-06,-2.9566740230555375,1,1,1.1565536896120055e-05,3,TNRC6C
1.550884518743931e-21,2.1835813607468273,1,1,8.445347985585138e-21,3,RAB13
4.93498307520641e-14,-1.0213983880373187,1,1,1.9626701847931709e-13,3,COX6B2
1.6814749931754945e-14,3.4016137660099024,1,1,6.830137751750459e-14,3,CDKN1C
8.35972784176332e-07,2.8434833600794067,1,1,1.9060942489177407e-06,3,LYNX1
8.251357756021704e-08,-1.1045651286186582,1,1,2.0966736777380007e-07,3,ZNF626
0.0404228050564144,3.5946343618614574,1,1,0.04160956781109667,3,MIR324
6.76620845534543e-06,3.6907333705375005,1,1,1.390464534499521e-05,3,CECR6
3.5418747825275155e-08,2.131339459521103,1,1,9.36920814411812e-08,3,ACVR1B
4.935142492402694e-06,1.3459445620584218,1,1,1.0295284207794137e-05,3,ILVBL
0.00028005568531641074,3.0278519818431557,1,1,0.0004637044632185972,3,SNORD56
4.7292875832320224e-89,2.3671182760074347,1,1,7.975933531720842e-88,3,IFNGR1
1.6854844646818198e-05,1.73740316141143,1,1,3.310506833087584e-05,3,NHSL1
4.664862427122853e-09,-7.965271555393427,1,1,1.3214355153231781e-08,3,DTHD1
1.682970820539132e-07,-4.551265138431617,1,1,4.1319621435472416e-07,3,PPP1R16B
1.449172591120764e-14,1.5408287015818796,1,1,5.898516137178914e-14,3,GAS7
5.669612600100666e-08,2.85359709723738,1,1,1.4610858518763612e-07,3,HAAO
0.010599762166281963,-1.2111196540322207,1,1,0.012905040931656717,3,MDN1
6.319534674069752e-62,1.2426411215439352,1,1,8.095891055210512e-61,3,HLA-DRB1
1.8268402178797524e-276,4.575741286358908,1,1,1.1409188048227141e-274,3,TNFAIP2
3.094908087405394e-40,-4.699906524069794,1,1,2.7127955318770527e-39,3,SLC38A1
0.01977122964491902,1.9506697496756824,1,1,0.02241861131652236,3,ARHGAP6
0.0003238661411653394,-1.1573893147382575,1,1,0.000530529904195845,3,ACSL6
